0,1,2
"""{'brand': '\""Seagate\""', 'category': 'Computers_and_Accessories', 'subcategory': 'External_Hard_Drives', 'title': \""['stea1000400'] Seagate Expansion 1TB Portable External Hard Drive USB 3.0 (STEA1000400)\"", 'sku': 'STEA1000400', 'type': 'Portable_External_Hard_Drive'}""

","""{'title': 'Seagate Expansion Portable 1TB', 'category': 'Storage Devices', 'subcategory': 'Portable Hard Drives', 'brand': 'Seagate', 'sku': 'STEA1000400', 'type': 'External Hard Drive'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': '[\\'432094b21\\', \\'432094b21\\']  \""432094-B21 HP 146-GB 15K 3.5 SP SAS\"", \""Null\"" \""New 432094-B21 SAS 10 Pack Wholesale Price 432094-B21-10Pack\""', 'subcategory': '15K SAS Drives', 'sku': '432094-B21', 'type': 'Hard Drive'}""

","""{'title': '431943-003 HP 146GB 15K 3.5 SP SAS Hard Drive', 'category': 'Computer Hardware', 'subcategory': 'Storage Devices', 'brand': 'HP', 'sku': '431943-003', 'type': 'Serial Attached SCSI (SAS) Hard Drive'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': \""['381817001']  '381817-001 HP 512 MB PC300 DDR RAM' Price 381817-001 'New 381817-001 RAM Wholesale' Description: 512 MB PC300 DDR RAM Part# 381817-001\"", 'sku': '381817-001', 'type': 'RAM'}""

","""{'title': '512 MB PC300 DDR RAM', 'category': 'Computer Hardware', 'subcategory': 'RAM', 'brand': 'HP', 'sku': '381817-001', 'type': 'RAM Module'}""

",1
"""{'category': 'Computers_and_Accessories', 'type': 'Wireless Router', 'title': 'TRENDnet TEW-818DRU - wireless router 802.11a/b/g/n/ac (draft 2.0) desk', 'subcategory': 'Wireless Routers', 'brand': 'Trendnet'}""

","""{'title': 'Trendnet AC1900 (TEW-818DRU)', 'category': 'Wi-Fi Routers', 'subcategory': 'Dual-Band Routers', 'brand': 'Trendnet', 'sku': 'TEW-818DRU', 'type': 'Wireless Router'}""

",1
"""{'category': 'Computers_and_Accessories', 'subcategory': 'Solid_State_Drives', 'title': 'Samsung 850 EVO Series M.2 250GB SATA 6Gbps Solid State Drive (MZ-N5E250BW)', 'brand': 'Samsung', 'sku': 'MZ-N5E250BW', 'type': 'Solid_State_Drive'}""

","""{'title': 'Samsung 850 EVO Series M.2 250GB SATA 6Gbps Solid State Drive (MZ-N5E250BW)', 'category': 'Electronics', 'subcategory': 'Storage Devices', 'brand': 'Samsung', 'sku': 'MZ-N5E250BW', 'type': 'Solid State Drive'}""

",1
"""{'category': 'Computers_and_Accessories', 'subcategory': 'Solid State Drives', 'title': \""['mzn5e250bw'] Samsung 850 EVO Series M.2 250GB SATA 6Gbps Solid State Drive (MZ-N5E250BW)\"", 'brand': 'Samsung', 'sku': 'MZ-N5E250BW', 'type': 'Solid_State_Drive'}""

","""{'title': 'Samsung 850 EVO Series M.2 1TB SATA 6Gbps Solid State Drive (MZ-N5E1T0BW)', 'category': 'Electronics', 'subcategory': 'Storage Devices', 'brand': 'Samsung', 'sku': 'MZ-N5E1T0BW', 'type': 'Solid State Drive'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': 'HP P600 RAID Controller [432103-B21]', 'subcategory': 'Smart Array', 'sku': '432103-B21', 'type': 'Storage Controller'}""

","""{'title': 'HP Smart Array P600/512 Controller', 'category': 'Storage Controllers', 'subcategory': 'HP Smart Array Controllers', 'brand': 'HP', 'sku': '432103-B21', 'type': 'BBWC Controller'}""

",1
"""{'brand': '\""Western Digital\""@tr', 'category': 'Computers_and_Accessories > Storage > Hard Drives', 'title': '[\\'wd40ezrz\\']  \""WD Blue 4TB Desktop Hard Disk Drive - 5400 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch WD40EZRZ\""@en-US', 'subcategory': 'Hard Drives > Desktop Hard Drives', 'sku': '', 'type': 'Hard Disk Drive'}""

","""{'title': 'WD Blue Desktop 1TB SATA III 3.5\"" Hard Drive', 'category': 'Storage', 'subcategory': 'Desktop Hard Drives', 'brand': 'Western Digital', 'sku': 'WD10EZEX', 'type': 'Internal Hard Drive'}""

",0
"""{'title': '[\\'wd30efrx\\']  \""WD Red 3TB 3.5\"" Internal SATA HDD/Hard Drive', 'category': 'Computers_and_Accessories', 'subcategory': 'Hard_Drives', 'brand': 'WD', 'sku': '[wd30efrx]', 'type': 'Hard_Drive'}""

","""{'title': 'WD Red WD30EFRX', 'category': 'Hard Drives', 'subcategory': 'Internal Hard Drives', 'brand': 'WD', 'sku': 'WD30EFRX', 'type': 'Hard Disk Drive'}""

",1
"""{'brand': '\""Seagate\""', 'category': 'Computers_and_Accessories', 'title': 'Seagate 1TB SATA ST1000DM003 Internal Hard Drive', 'subcategory': 'Internal Hard Drives', 'sku': 'ST1000DM003', 'type': 'Hard Drive'}""

","""{'title': 'ST31000640NS Seagate 1-TB 7.2K 3.5 SATA HDD', 'category': 'Hard Drives', 'subcategory': 'Internal Hard Drives', 'brand': 'Seagate', 'sku': 'ST31000640NS', 'type': 'Hard Disk Drive'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': '[\\'45414100210pack\\', \\'454141002\\']  \""ST3500630NS HP 500-GB 7.2K 3.5 1.5G SATA\"", \""Null\"" \""New ST3500630NS SATA 10 Pack Wholesale Price ST3500630NS-10Pack\""', 'subcategory': '7.2K SATA', 'sku': '454141002', 'type': 'Hard Drive'}""

","""{'title': '454141-002 HP 500-GB 7.2K 3.5 SATA', 'category': 'Computer Hardware', 'subcategory': 'Hard Drives', 'brand': 'HP', 'sku': '454140-002', 'type': 'Hard Drive'}""

",1
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': '629142-B21 HP FlexFabric 10Gb 2-Port 554FLR Adapter', 'subcategory': '10Gb Ethernet Adapters', 'sku': '629142-B21', 'type': 'Network Adapter'}""

","""{'title': 'HP FlexFabric 10Gb 2-Port 554FLR-SFP+ Adapter', 'category': 'Networking Adapters', 'subcategory': '10Gb Ethernet Adapters', 'brand': 'HP', 'sku': '629142-B21', 'type': 'Networking'}""

",1
"""{'category': 'Computers_and_Accessories', 'subcategory': 'Graphics Cards', 'brand': 'Gigabyte', 'type': 'Graphics Card'}""

","""{'title': 'Gigabyte GeForce GTX 1060 Mini ITX OC 3GB GDDR5 VR Ready Graphics Card', 'category': 'Computer Hardware', 'subcategory': 'Graphics Cards', 'brand': 'Gigabyte', 'sku': 'LN74506 - GV-N1060IXOC-3GD', 'type': 'Graphics Card'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': 'HP HPE Smart Array P421/2GB with FBWC - Storage Controller (RAID) SAS 6Gb/s', 'subcategory': 'Smart Array', 'sku': '[631674b21]', 'type': 'RAID Controller'}""

","""{'title': 'HP Smart Array P600/512 Controller', 'category': 'Storage Controllers', 'subcategory': 'RAID Controllers', 'brand': 'HP', 'sku': 'P600/512', 'type': 'SATA 1.5Gb/s / SAS PCI-X/133 MHz'}""

",0
"""{'brand': '\""HP Enterprise\""', 'title': '[\\'bd03655b28\\']  \""BD03655B28 HP 36.4-GB 10K FC-AL\"",', 'category': 'Computers_and_Accessories', 'subcategory': '10K HDDs', 'sku': 'BD03655B28-5Pack', 'type': 'Hard Drive Hot-Swap'}""

","""{'title': 'BD03656ABA HP 36.4-GB 10K FC-AL HDD', 'category': 'Storage', 'subcategory': 'Hard Drives', 'brand': 'HP', 'sku': 'BD03656ABA', 'type': '10K FC-AL HDD'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': 'HP Enterprise 394793-B21 Proliant Network Adapter', 'subcategory': 'Proliant Network Adapter', 'sku': '394793-B21', 'type': 'Network Adapter'}""

","""{'title': 'Hewlett Packard Enterprise 394793-B21 Internal Ethernet 1000Mbit/s networking card', 'category': 'Computer Hardware', 'subcategory': 'Networking Cards', 'brand': 'Hewlett Packard Enterprise', 'sku': '394793-B21', 'type': 'Internal Ethernet networking card'}""

",1
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': 'HP 146GB 3G 10K 2.5-inch SAS Hard Drive (430165-003)', 'subcategory': '10K SAS Dual Port Hot-Plug Hard Drive', 'sku': '430165-003', 'type': 'Hard Drive'}""

","""{'title': '456896-001 HP 400-GB 10K 3.5 DP SAS Hard Drive', 'category': 'Computer Hardware', 'subcategory': 'SAS (Serial Attached SCSI) Hard Drives', 'brand': 'HP', 'sku': '456896-001', 'type': 'Hard Drive'}""

",0
"""{'title': 'Intel Core i3-6100 Processor', 'category': 'Computers_and_Accessories', 'subcategory': 'Processors', 'brand': 'Intel', 'sku': 'BX80662I36100', 'type': 'Processor'}""

","""{'title': 'Intel Core i3-4160', 'category': 'Processors', 'subcategory': 'Intel Core i3', 'brand': 'Intel', 'sku': 'i3-4160', 'type': 'Microprocessor'}""

",0
"""{'title': 'Corsair Vengeance Red LED 64GB DDR4 3000 Memory Kit', 'subcategory': 'Memory_Modules', 'brand': 'Corsair', 'sku': \""['CMU64GX4M4C3000C15R', 'MU64GX4M4C3000C15R']\"", 'type': 'RAM', 'category': 'Computers_and_Accessories'}""

","""{'title': 'Corsair CMU64GX4M4C3000C15R', 'category': 'Memory', 'subcategory': 'RAM', 'brand': 'Corsair', 'sku': 'CMU64GX4M4C3000C15R', 'type': 'Quad Kit, 4x16GB, DDR4-3000Mhz, Vengeance LED-Rojo'}""

",1
"""{'title': 'HPE Smart Array P420/2GB with FBWC - storage controller (RAID) SATA 6Gb/s', 'brand': 'HPE', 'sku': '631671-B21', 'type': 'RAID Controller', 'category': 'Computers_and_Accessories', 'subcategory': 'Storage'}""

","""{'title': 'HPE Smart Array P421 Controller', 'category': 'Storage Controllers', 'subcategory': 'RAID Controllers', 'brand': 'HPE', 'sku': '631674-B21', 'type': 'SAS, PCIe 3.0, RAID'}""

",0
"""{'title': 'HPE Smart Array P420/2GB with FBWC - storage controller (RAID) SATA 6Gb/s', 'brand': 'HPE', 'sku': '631671-B21', 'type': 'RAID Controller', 'category': 'Computers_and_Accessories', 'subcategory': 'Storage'}""

","""{'title': 'HPE Smart Array P421 Controller', 'category': 'Storage Controllers', 'subcategory': 'RAID Controllers', 'brand': 'HPE', 'sku': '631674-B21', 'type': 'SAS, PCIe 3.0, Serial Attached SCSI (SAS), RAID'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': \""['293472b22'] HP MSL5026S2 Super DLT Tape Drive\"", 'subcategory': 'SDLT Drives', 'sku': 'MSL5026S2', 'type': 'Tape Drive'}""

","""{'title': 'HP MSL5026S2 1 Drive SDLT2 Rack-Mount Library', 'category': 'Storage Devices', 'subcategory': 'Tape Drives', 'brand': 'HP', 'sku': '29347-B22', 'type': 'Rack-Mount Library, SDLT2'}""

",1
"""{'category': 'Computers_and_Accessories', 'title': \""{'en': '[ct750mx300ssd1] Crucial MX300 750GB SSD SATA 6Gbps 3D Nand 7mm Solid State Drive (CT750MX300SSD1)', 'de': '[] CT750MX300SSD1, Lesespeicherung: 530MB/S, Schreibspeicherung: 510MB/S, Flash: 3D Nand, Controller: Marvell, Buffer: 0MB'}\"", 'subcategory': 'Solid State Drives', 'brand': 'Crucial', 'sku': 'CT750MX300SSD1', 'type': 'SSD'}""

","""{'title': 'Crucial MX300 750GB SSD', 'category': 'Computer & Technology', 'subcategory': 'Storage Devices', 'brand': 'Crucial', 'sku': 'CT750MX300SSD1', 'type': 'Solid State Drive (SSD)'}""

",1
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': \""['495605b21']  HP 64-GB (8x8GB) PC2-5300 SDRAM Kit\"", 'subcategory': 'Server Memory', 'sku': '495605-B21', 'type': 'Memory Kit'}""

","""{'title': 'HP 64-GB (8x8GB) PC2-5300 SDRAM Kit', 'category': 'Computer Hardware', 'subcategory': 'Memory', 'brand': 'HP', 'sku': '495605-B21', 'type': 'SDRAM Kit'}""

",1
"""{'category': 'Computers_and_Accessories', 'subcategory': 'Networking_Components', 'title': 'TP-LINK TL-SF1008D 8-Port 10/100Mbps Desktop Switch', 'brand': 'TP-LINK', 'sku': '1016921327', 'type': 'Network Switch'}""

","""{'title': 'TP-LINK TL-SF1008D Switch', 'category': 'Networking', 'subcategory': 'Switches', 'brand': 'TP-LINK', 'sku': 'TL-SF1008D', 'type': '8 Ports 10/100 Switch'}""

",1
"""{'category': 'Computers_and_Accessories', 'subcategory': 'Processors', 'title': '7th Generation Intel\u00ae Core\u2122 i5 7500 3.4GHz Socket LGA1151 (Kaby Lake) Processor - Retail', 'brand': 'Intel\u00ae', 'sku': 'BX80677I57500', 'type': 'Desktop Processor'}""

","""{'title': 'Intel Core i5-7600K', 'category': 'Processors', 'subcategory': 'Intel Processors', 'brand': 'Intel', 'sku': 'BX80677I57600K', 'type': 'Quad Core Technology'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': '[\\'408850b21\\', \\'408850b21\\']  \""408850-B21 HP 1GB (2x512MB) PC2-5300 SDRAM Kit\"", \""Null\"" \""New 408850-B21 Kit Wholesale Price 408850-B21\""', 'subcategory': 'Server Memory Upgrades', 'sku': 'HP-408850B21', 'type': 'Memory Kit'}""

","""{'title': '408850-B21 HP 1GB (2x512MB) PC2-5300 SDRAM Kit', 'category': 'Computer Hardware', 'subcategory': 'Memory', 'brand': 'HP', 'sku': '408850-B21', 'type': 'Memory Kit'}""

",1
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': '[\\'494267b21\\', \\'494267b21\\']  \""HP Proliant G5 Opteron 8384 2.7GHz BL685c Processor Kit (2 x Quad-Core, 6MB L3 Cache, 75W TDP)\""', 'subcategory': 'Opteron Quad-Core Processors', 'sku': '494267-B21', 'type': 'Processor'}""

","""{'title': 'HP Opteron 2354 2.2GHz DL165 G5', 'category': 'Processors', 'subcategory': 'AMD Opteron', 'brand': 'HP', 'sku': '445974-B21', 'type': 'Processor'}""

",0
"""{'brand': '\""AMD\""@en-US', 'category': 'Computers_and_Accessories > Microprocessors > x86 Microprocessors > AMD > Trinity', 'subcategory': 'Microprocessors > x86 Microprocessors > AMD > Trinity > AMD A6-5400K', 'sku': '[ad540kokhjbox]', 'type': 'Microprocessor'}""

","""{'title': 'AMD A8-5600K Black Edition 3.60GHz APU Trinity Quad Core Processor', 'category': 'Computer Hardware', 'subcategory': 'Processors', 'brand': 'AMD', 'sku': 'AD560KWOHJBOX', 'type': 'Quad-Core Processor'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': '[\\'5187360015pack\\', \\'518736001\\']  \""518736-001 HP 450-GB 10K Fibre Channel 40 pin 2GB/s HotSwap FCAL Hard Drive\""', 'subcategory': 'FC-AL 10K RPM Hot-Swap Drives', 'sku': '518736001', 'type': 'Hard Disk Drive'}""

","""{'title': '359461-005 HP 72.8-GB 10K FC-AL', 'category': 'Storage', 'subcategory': 'Hard Drives', 'brand': 'HP', 'sku': '359461-005', 'type': 'FC-AL'}""

",0
"""{'title': 'WD Black 1TB 7200rpm SATA 6Gb/s 64MB Cache HDD (WD1003FZEX)', 'subcategory': 'Hard Drives', 'brand': 'WD', 'sku': 'WD1003FZEX', 'type': 'Hard Drive'}""

","""{'title': '1TB WD Black WD1003FZEX, 3.5\"" HDD, SATA III - 6Gb/s, 7200rpm, 64MB Cache', 'category': 'Electronics', 'subcategory': 'Hard Drives', 'brand': 'Western Digital', 'sku': 'WD1003FZEX', 'type': 'HDD'}""

",1
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': 'HP 456896-001 400GB 10K 3.5 DP SAS Hot-Plug Internal Hard Drive', 'subcategory': 'SAS 10K', 'sku': '456896001', 'type': 'Hard Drive'}""

","""{'title': '508429-001 HP 400-GB 10K 3.5 DP NHP SAS Hard Drive', 'category': 'Computer Hard Drives', 'subcategory': 'Storage Devices', 'brand': 'HP', 'sku': '508429-001', 'type': 'Hard Disk Drive'}""

",0
"""{'brand': '\""HP Enterprise\""', 'category': 'Computers_and_Accessories', 'title': '[\\'6581020012pack\\', \\'658102001\\']  \""ST2000NM0011 HP G8 G9 2-TB 6G 7.2K 3.5 SATA SC\"",', 'subcategory': '7.2K SATA SC Hard Drives', 'sku': '658102001', 'type': 'Hard Drive'}""

","""{'title': 'HP 2TB 3.5-inch SATA 6G7.2K Hot-Plug Midline Hard Drive', 'category': 'Computer Hard Drives', 'subcategory': 'Internal Hard Drives', 'brand': 'HP', 'sku': '658102-001', 'type': 'Hard Drive'}""

",1
"""{'category': 'Computers_and_Accessories', 'subcategory': 'Cooling_Components', 'title': '[\\'co9050009ww\\']  \""Corsair AF140 Fan - Quiet Edition\""@en Edition LN44585 CO-9050009-WW | SCAN UK\""@en  \""140mm Corsair Air Series AF140 Quiet Edition, High Airflow & Low Noise, 1150rpm, 67.8CFM, 24dB, 3-Pin, Single Pack       \""@en', 'brand': 'Corsair', 'sku': 'CO-9050009-WW', 'type': 'Computer Fan'}""

","""{'title': 'Corsair Air Series AF120 LED White Quiet Edition', 'category': 'Computer Components', 'subcategory': 'Cooling Fans', 'brand': 'Corsair', 'sku': 'CO-9050015-WLED', 'type': 'LED Quiet Edition'}""

",0
"""{'brand': '\""Seagate\""', 'category': 'Computers_and_Accessories', 'title': \""['st31000340as'] Seagate 1-TB 7.2K 3.5 3G SATA Hard Drive\"", 'subcategory': 'Desktop Hard Drives', 'sku': 'ST31000340AS', 'type': 'Hard Drive'}""

","""{'title': 'ST31000340AS Seagate 1-TB 7.2K 3.5 3G SATA', 'category': 'Computer Hard Drives', 'subcategory': 'Internal Hard Drives', 'brand': 'Seagate', 'sku': 'ST31000340AS', 'type': 'Hard Drive'}""

",1
"""{'brand': '\""Seagate\""', 'category': 'Computers_and_Accessories', 'title': \""['st3500630ns'] Seagate Barracuda ES 500GB SATA-II 16MB Cache - OEM (ST3500630NS)\"", 'subcategory': 'Enterprise Hard Drives', 'sku': 'ES-ST3500630NS-0001', 'type': 'Hard Drive'}""

","""{'title': 'Seagate Barracuda ES.2 750GB SATA-II 32MB Cache - OEM', 'category': 'Hard Drives', 'subcategory': 'Internal Hard Drives', 'brand': 'Seagate', 'sku': 'ST3750330NS', 'type': 'Hard Disk Drive'}""

",0
"""{'title': 'TP-Link 24-Port Gigabit Desktop/Rackmount Switch (TL-SG1024D)', 'subcategory': 'Gigabit Switches', 'brand': 'TP-Link', 'sku': 'TL-SG1024D', 'type': 'Network Switch'}""

","""{'title': 'TP-LINK TL-SG1024D 24-Port Gigabit Switch', 'category': 'Computer Hardware', 'subcategory': 'Network Switches', 'brand': 'TP-LINK', 'sku': 'TL-SG1024D', 'type': 'Unmanaged Desktop Switch'}""

",1
"""{'category': 'Computers_and_Accessories', 'title': '[\\'cc9011082ww\\']  \""Corsair Carbide 400Q Quiet Desktop PC Computer Case Black\""@en', 'subcategory': 'Computer_Cases', 'brand': 'Corsair', 'sku': '', 'type': 'Computer_Case'}""

","""{'title': 'Carbide 400Q V2 Quiet Desktop Gaming PC Computer Case', 'category': 'Computer Cases', 'subcategory': 'Gaming Computer Cases', 'brand': 'Corsair', 'sku': 'LN74823 - CC-9011100-WW', 'type': 'Mid Tower'}""

",0
"""{'brand': '\""Seagate\""', 'category': 'Computers_and_Accessories', 'title': 'ST31000524NS EQL 1TB 7.2K 3.5 SATA PS4000E, 5 Pack Wholesale ST31000524NS Price ST31000524NS-5Pack', 'subcategory': 'Hard Drives', 'sku': 'ST31000524NS-5Pack', 'type': 'Hard Drive'}""

","""{'title': 'ST31000524NS Seagate 1-TB 7.2K 3.5 3G SATA', 'category': 'Computer Hard Drives', 'subcategory': 'Internal Hard Drives', 'brand': 'Seagate', 'sku': 'ST31000524NS', 'type': 'Hard Drive'}""

",1
"""{'category': 'Computers_and_Accessories', 'subcategory': 'Memory_Modules', 'title': 'Corsair Vengeance Blue 4GB DDR3-1600 CL9 Memory Module - cmz4gx3m1a1600c9b', 'brand': 'Corsair', 'sku': 'CMZ4GX3M1A1600C9', 'type': 'Memory'}""

","""{'title': 'Corsair Vengeance Blue CMZ4GX3M1A1600C9 4GB 1x4GB DDR3-1600 CL9-9-9-24 Memory', 'category': 'Computer Hardware', 'subcategory': 'Memory', 'brand': 'Corsair', 'sku': 'CMZ4GX3M1A1600C9B', 'type': 'DDR3'}""

",1
"""{'category': 'Computers_and_Accessories', 'title': '', 'subcategory': '', 'brand': '', 'sku': 'l6v67aaabb', 'type': ''}""

","""{'title': '4GB 2666MHZ DDR4 CL15 HX FUR BK', 'category': 'Computer Hardware', 'subcategory': 'Memory', 'brand': 'Tradineur.com', 'sku': 'HX-FUR-BK', 'type': 'RAM DIMM'}""

",0
"""{'category': 'Computers_and_Accessories', 'title': 'Corsair 4GB DDR3 1333MHz SODIMM RAM', 'subcategory': 'RAM', 'brand': 'Corsair', 'sku': 'CMSO4GX3M1A1333C9', 'type': 'RAM_DDR3'}""

","""{'title': 'Corsair 4GB DDR3 1066MHz PC3-8500 SODIMM Memory Module', 'category': 'Computer Hardware', 'subcategory': 'Memory Modules', 'brand': 'Corsair', 'sku': 'Unknown', 'type': 'SODIMM'}""

",0
"""{'title': 'TP-LINK TL-WDN4800 450Mbps Wireless N Dual Band PCIe Adapter', 'category': 'Computers_and_Accessories', 'subcategory': 'Network_Adapters', 'brand': 'TP-Link', 'sku': 'TL-WDN4800', 'type': 'Wireless Network Adapter'}""

","""{'title': 'TP-LINK TL-WN881ND', 'category': 'Network Adapters', 'subcategory': 'Wireless Adapters', 'brand': 'TP-LINK', 'sku': 'TL-WN881ND', 'type': 'Wireless'}""

",0
"""{'brand': '\""Corsair\""@en', 'category': 'Computers_and_Accessories > Memory > DDR4 SDRAM', 'subcategory': 'Desktop Memory', 'sku': '[CMU16GX4M2A2666C16R]', 'type': 'RAM', 'title': '[\\'cmu16gx4m2a2666c16r\\']  \""Corsair Vengeance Red LED 16GB DDR4 2666 Memory Kit 2x 8GB\""@en'}""

","""{'title': 'Corsair Vengeance Red LED 16GB (2x8GB) DDR4', 'category': 'Memory', 'subcategory': 'RAM', 'brand': 'Corsair', 'sku': 'CMU16GX4M2A2666C16R', 'type': 'RAM'}""

",1
